pitch_type,batter,pitcher,zone,stand,p_throws,type,estimated_woba_using_speedangle
SL,673962,650556,14,R,R,X,0.061
SL,663993,650556,6,L,R,X,0.692
SL,666969,650556,6,R,R,X,0.0
CU,547989,656756,9,R,L,X,0.154
SI,670541,656756,1,L,L,X,0.656
SI,608324,656756,14,R,L,X,0.119
SL,543760,593576,5,R,R,X,0.0
SI,514888,656756,12,R,L,X,0.028
CU,455117,656756,6,R,L,X,0.005
SI,665161,656756,9,R,L,X,0.826
CU,676801,656756,14,R,L,X,0.645
FS,673962,593576,9,R,R,X,0.111
CH,641680,641585,5,L,R,X,0.854
FC,641598,641585,2,R,R,X,0.009
CU,666969,641585,4,R,R,X,0.131
CU,608369,641585,8,L,R,X,0.524
FF,673962,641585,9,R,R,X,0.92
FF,547989,453286,11,R,R,X,0.113
CU,670541,453286,13,L,R,X,0.259
FF,608324,453286,5,R,R,X,0.91
CU,514888,453286,14,R,R,X,0.131
FF,641680,686613,1,L,R,X,0.041
FF,666969,686613,6,R,R,X,1.494
FF,663656,453286,5,L,R,X,0.024
FC,608369,686613,2,L,R,X,0.915
FF,543760,686613,4,R,R,X,0.02
FF,665750,686613,5,L,R,X,0.444
SL,547989,453286,8,R,R,X,0.169
CH,608324,453286,5,R,R,X,0.497
FF,514888,453286,1,R,R,X,0.752
FF,641680,664299,2,L,R,X,0.467
SL,641598,664299,12,R,R,X,0.049
FF,666969,664299,12,R,R,X,0.18
FF,608369,664299,2,L,R,X,2.0
FF,543760,664299,3,R,R,X,0.262
ST,592663,623149,5,R,R,X,0.011
SI,672515,642397,4,R,L,X,0.376
SI,682998,642397,3,L,L,X,
SI,672695,642397,3,R,L,X,0.18
FF,681082,656464,12,L,R,X,0.026
SL,664761,656464,14,R,R,X,0.187
SL,547180,656464,13,L,R,X,0.92
SL,607208,656464,14,R,R,X,0.587
KC,502054,518886,8,R,R,X,0.887
CU,656941,685314,13,L,L,X,0.048
FF,669016,657044,2,L,R,X,0.889
FF,572233,689147,6,R,R,X,0.391
ST,672515,689147,4,R,R,X,0.036
ST,606466,689147,8,L,R,X,0.418
ST,672695,689147,8,L,R,X,0.751
SL,592206,657044,12,R,R,X,0.006
FF,592663,657044,5,R,R,X,0.01
FF,681082,657044,5,L,R,X,0.496
SI,664761,657044,5,R,R,X,0.132
CU,677950,547179,2,L,R,X,0.705
FF,666971,547179,8,R,R,X,0.259
FC,607208,518876,6,R,R,X,0.201
SL,672515,547179,14,R,R,X,0.085
FF,606466,605400,3,L,R,X,0.938
FF,682998,605400,11,L,R,X,0.705
FF,672695,605400,11,L,R,X,0.113
SI,592206,518876,5,R,R,X,0.285
CH,677950,605400,4,L,R,X,0.91
KC,666971,605400,5,R,R,X,0.008
CH,681082,518876,13,L,R,X,0.047
CH,664761,518876,4,R,R,X,0.394
KC,502054,605400,9,R,R,X,0.088
SI,672515,605400,4,R,R,X,0.13
FC,669016,518876,3,L,R,X,0.724
FF,592663,518876,6,R,R,X,0.77
CH,606466,605400,13,L,R,X,0.13
SI,682998,605400,6,L,R,X,0.069
CH,672695,605400,13,L,R,X,0.102
SI,666971,605400,7,R,R,X,1.507
KC,502054,605400,8,R,R,X,1.647
SI,681082,518876,6,L,R,X,0.034
